1468366493;;;;
#poses;f;isConstant;;
0;1545.1;0;;
2;1545.1;0;;
3;1418.18;0;;
4;1395.6;0;;
5;1416.15;0;;
6;1428.7;0;;
7;1433.13;0;;
8;1434.4;0;;
9;1432.11;0;;
10;1422.13;0;;
11;1411.43;0;;
11;1402.4;0;;
12;1392.47;0;;
12;1358.05;0;;
13;1374.45;0;;
14;1337.16;0;;
14;1354.26;0;;
15;1345.85;0;;
16;1329.62;0;;
16;1344.67;0;;
17;1340.67;0;;
18;1362.69;0;;
19;1372.4;0;;
20;1364.44;0;;
21;1330.69;0;;
21;1348.5;0;;
22;1314.21;0;;
23;1323.6;0;;
24;1324.18;0;;
24;1324.46;0;;
25;1324.93;0;;
26;1324.28;0;;
27;1324.57;0;;
28;1325.16;0;;
