631269749;;;;1468366493;;;;
#poses;f;isConstant;;#poses;f;isConstant;;
0;1545.1;1;;0;1545.1;1;;
0;1545.1;1;;2;1545.1;1;;
1;1545.1;1;;2;1545.1;1;;
1;1545.1;1;;3;1545.1;1;;
1;1545.1;1;;3;1545.1;1;;
1;1545.1;1;;4;1545.1;1;;
1;1545.1;1;;4;1545.1;1;;
1;1545.1;1;;5;1545.1;1;;
1;1545.1;1;;5;1545.1;1;;
1;1545.1;1;;5;1545.1;1;;
2;1545.1;1;;5;1545.1;1;;
2;1545.1;1;;5;1545.1;1;;
2;1545.1;1;;6;1545.1;1;;
2;1545.1;1;;6;1545.1;1;;
2;1545.1;1;;6;1545.1;1;;
3;1545.1;1;;6;1545.1;1;;
3;1545.1;1;;6;1545.1;1;;
3;1545.1;1;;6;1545.1;1;;
3;1545.1;1;;7;1545.1;1;;
3;1545.1;1;;7;1545.1;1;;
4;1545.1;1;;7;1545.1;1;;
4;1545.1;1;;7;1545.1;1;;
4;1545.1;1;;7;1545.1;1;;
4;1545.1;1;;8;1545.1;1;;
4;1545.1;1;;8;1545.1;1;;
5;1545.1;1;;8;1545.1;1;;
5;1545.1;1;;8;1545.1;1;;
6;1545.1;1;;8;1545.1;1;;
6;1545.1;1;;8;1545.1;1;;
6;1545.1;1;;9;1545.1;1;;
6;1545.1;1;;9;1545.1;1;;
6;1545.1;1;;10;1545.1;1;;
6;1545.1;1;;10;1545.1;1;;
7;1545.1;1;;10;1545.1;1;;
7;1545.1;1;;10;1545.1;1;;
7;1545.1;1;;11;1545.1;1;;
7;1545.1;1;;11;1545.1;1;;
8;1545.1;1;;11;1545.1;1;;
8;1545.1;1;;11;1545.1;1;;
9;1545.1;1;;11;1545.1;1;;
9;1545.1;1;;11;1545.1;1;;
9;1545.1;1;;12;1545.1;1;;
9;1545.1;1;;12;1545.1;1;;
9;1545.1;1;;13;1545.1;1;;
9;1545.1;1;;13;1545.1;1;;
10;1545.1;1;;13;1545.1;1;;
10;1545.1;1;;13;1545.1;1;;
10;1545.1;1;;14;1545.1;1;;
10;1545.1;1;;14;1545.1;1;;
11;1545.1;1;;14;1545.1;1;;
11;1545.1;1;;14;1545.1;1;;
12;1545.1;1;;14;1545.1;1;;
12;1545.1;1;;14;1545.1;1;;
12;1545.1;1;;15;1545.1;1;;
12;1545.1;1;;15;1545.1;1;;
12;1545.1;1;;15;1545.1;1;;
13;1545.1;1;;15;1545.1;1;;
13;1545.1;1;;15;1545.1;1;;
13;1545.1;1;;16;1545.1;1;;
13;1545.1;1;;16;1545.1;1;;
28;1545.1;1;;32;1545.1;1;;
28;1545.1;1;;32;1545.1;1;;
28;1545.1;1;;32;1545.1;1;;
40;1545.1;1;;50;1545.1;1;;
40;1545.1;1;;50;1545.1;1;;
40;1545.1;1;;50;1545.1;1;;
40;1545.1;1;;50;1545.1;1;;
40;1545.1;1;;50;1545.1;1;;
58;1545.1;1;;62;1545.1;1;;
47;1545.1;1;;47;1545.1;1;;
47;1545.1;1;;47;1545.1;1;;
60;1545.1;1;;56;1545.1;1;;
58;1545.1;1;;55;1545.1;1;;
58;1545.1;1;;55;1545.1;1;;
68;1545.1;1;;68;1545.1;1;;
67;1545.1;1;;68;1545.1;1;;
67;1545.1;1;;68;1545.1;1;;
67;1545.1;1;;68;1545.1;1;;
84;1545.1;1;;79;1545.1;1;;
82;1545.1;1;;78;1545.1;1;;
93;1545.1;1;;92;1545.1;1;;
90;1545.1;1;;92;1545.1;1;;
92;1545.1;1;;96;1545.1;1;;
91;1545.1;1;;94;1545.1;1;;
108;1545.1;1;;107;1545.1;1;;
104;1545.1;1;;105;1545.1;1;;
104;1545.1;1;;105;1545.1;1;;
104;1545.1;1;;105;1545.1;1;;
116;1545.1;1;;116;1545.1;1;;
108;1545.1;1;;109;1545.1;1;;
108;1545.1;1;;109;1545.1;1;;
109;1545.1;1;;111;1545.1;1;;
109;1545.1;1;;110;1545.1;1;;
121;1545.1;1;;119;1545.1;1;;
119;1545.1;1;;116;1545.1;1;;
119;1545.1;1;;116;1545.1;1;;
119;1545.1;1;;116;1545.1;1;;
119;1545.1;1;;117;1545.1;1;;
119;1545.1;1;;117;1545.1;1;;
121;1545.1;1;;121;1545.1;1;;
121;1545.1;1;;121;1545.1;1;;
